company,known_codes,match_name,match_email,match_address,notes,rejected_codes
Exsim,31007|31100|13415|12291|19365|19931|11949,EXSIM,exsim.my|exsim.com.my,Exsim Tower|Millerz Square,"Jalil Link removed again: Binastra is registered in the same park and the address cannot separate them, so both sides are listed by code instead. Verified Exsim: Twin Arkz (12291). Unresolved: 30641 Lofthill Development sits in Exsim's building but Lofthill Residence is on your Armani list.",9795|31332|14116|19117|13000|13323|30344|31047|11616|30641
Armani,30135|13975|30572|30017|30054|30641|30799,ARMANI,armanigroup.com.my,Subplace Boulevard|Juruanalisis U1/35,"Found by address, not by name: armanigroup.com.my gives their HQ as Level 17, Subplace Boulevard, Jalan Juruanalisis U1/35, Seksyen U1, Shah Alam, and three companies are registered there -- Armani Development (30135), Golden Armani (13975) and Pinnacle Armani (30572), which I wrongly rejected earlier on its pinnaclegroup email; the shared address says otherwise, probably a JV. Still open: 11565 Armani Idaman, Kuantan, 42 projects -- different address and email, but your list has Pahang, Terengganu and Sabah projects, so it may be their east-coast arm. 30633 Armani Hartajaya stays rejected: Pavilion Tower address, 1pavilion.com email. Also confirmed: 30017 Metro Garden Cameron (Armani HQ address, Golden Armani's email, owns The Cameron), 30054 Grand Golden Development (same street, owns Residensi Armani Sg Long), and 30641 Lofthill Development -- 653 units, exactly your figure, with rajauda2.dev@gmail.com matching Lofthill's Jalan Raja Uda location. Its Millerz Square address is a red herring; it is Armani's, not Exsim's. 30799 Golden Chain Development owns Residensi Armani Putra, at the HQ address -- accepted. 30705 Usaha Mulia is on the same street but a different building, with an unrelated email and a project not on your list -- rejected.",30633|30705
Avaland,,AVALAND|MCT,avaland.com.my,,Unconfirmed — formerly MCT Berhad.,
Skyworld,31282|31075|13715,SKYWORLD,skyworldgroup.com.my|skyworld.my,,"13715 SkyWorld Development Berhad is the parent; 31282 and 31075 are its SkyAwani SPVs, all on skyworldsandm@gmail.com.",
Mah Sing,9600|11433|10393|10264|19318|11347|13078|10279,MAH SING,mahsing.com.my,Wisma Mah Sing,"9600 Dsara Sentral (M Grand Minori, 7 projects). Name signal fails — match on email.",
TS Law,31031,TS LAW,tslawland.com|tslaw.com.my,Plaza Sentosa,31031 Plaza Sentosa Properties (Skyline One). Name signal fails — match on email.,
Majestic Gen,30828,MAJESTIC,majestic-gen.com,Pavilion Damansara Heights,"Match on majestic-gen.com only. All seven 'Majestic' name matches were other companies: Eco Majestic is EcoWorld, Majestic Land is Mayland, the rest are unrelated firms in Penang, Perak, Johor and Puchong.",11735|19150|5732|30461|19965|6406|11279|13145|13544|14356|19092|30270
Maxim,14438|12313|12414|19092,MAXIM,maximglobal.com.my,,19092 Majestic Maxim uses maxim@maximglobal.com.my - it is Maxim's despite the name suggesting Majestic Gen.,8322|11606|19510|14073
Platinum Victory,8898|13231|13113|11699,PLATINUM,platinumvictory.com,,"Only three are genuine: 8898 (the parent), 13231 Setapak, and 13113 MH Platinum at the same Taman Melati Utama address. The other 14 'Platinum' companies belong to Chin Hin, NCT, Mayland and others -- the word is too common to match on.",14314|30576|14390|12082|30001|9231|9711|14618|19741|13687|19956|30744|30274|11683|13090
Binastra,31332|9354|9795|14116|19117|13000|13323,BINASTRA,binastra.com.my,,"Citizen (14116) and Citizen 2 (19117) confirmed on binastra.com.my. 9795 is Binastra Land itself, 6 projects. 13000 and 13323 share Binastra Synergy's exact address at Jalan Jalil Jaya 3 -- likely but not verified.",
Trinity Group,,TRINITY,trinitygroup.com.my,,"Unconfirmed. Her sheet lists Permas Jaya Phases 1-3 under Trinity, but code 835 is Permas Jaya Sdn Bhd with a brdb.com.my email — check whether this is a JV or a group relationship.",30907|7055
Malton,,MALTON,malton.com.my,,Unconfirmed. Pavilion Bukit Jalil related.,
Chin Hin,13531,CHIN HIN,fiamma.com.my|chinhinproperty.com,Menara Chin Hin,"13531 Affluent Crafts (Amberwood, filed as Residensi Ambar Rimba). Name and email signals both fail — match on address.",6722|2537
